,Address,NoOfBedrooms,NoOfBathrooms,AreaSqYards
16004,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",2.0,2.0,100
15279,"Al-Murtaza Commercial Area, DHA Phase 8",3.0,3.0,200
8743,"Bahria Heights, Bahria Town Karachi",2.0,2.0,122
7650,"Clifton - Block 4, Clifton",2.0,2.0,122
3475,"Bahria Apartments, Bahria Town Karachi",2.0,2.0,106
19399,other,4.0,4.0,500
14195,"Falcon Complex New Malir, Malir",5.0,5.0,500
15458,"DHA Phase 8, DHA Defence",3.0,4.0,272
8184,"Defence View Phase 1, Defence View Society",3.0,3.0,133
18520,"University Road, Karachi",6.0,6.0,240
2262,other,4.0,4.0,267
13397,"DHA Phase 6, DHA Defence",5.0,6.0,500
250,"Bahria Town Karachi, Karachi",5.0,6.0,500
18814,other,7.0,7.0,600
8564,"Creek Vista, DHA Phase 8",3.0,4.0,356
3262,"North Nazimabad - Block M, North Nazimabad",2.0,2.0,78
6890,"Gulshan-e-Iqbal - Block 4, Gulshan-e-Iqbal",1.0,1.0,56
13033,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
14286,"Tulip Tower, Saadi Road",4.0,6.0,400
7417,"Bahria Town - Quaid Villas, Bahria Town - Precinct 2",3.0,3.0,200
18311,"Shahra-e-Faisal, Karachi",2.0,2.0,152
13666,"Bath Island, Karachi",4.0,4.0,289
16030,"Gulshan-e-Iqbal - Block 4A, Gulshan-e-Iqbal",2.0,2.0,83
11874,"Jamshed Road, Karachi",3.0,3.0,189
312,"Saima Arabian Villas, Gadap Town",3.0,3.0,160
7673,"Frere Town, Karachi",4.0,4.0,278
11495,"Gulshan-e-Iqbal - Block 11, Gulshan-e-Iqbal",2.0,2.0,100
3494,other,3.0,3.0,199
14345,"Gulshan-e-Maymar - Sector X, Gulshan-e-Maymar",6.0,6.0,200
8536,"Falcon Complex New Malir, Malir",5.0,5.0,500
10245,"Bahria Town - Precinct 12, Bahria Town Karachi",3.0,3.0,125
8267,"DHA Phase 5, DHA Defence",5.0,5.0,500
7427,"DHA Phase 7 Extension, DHA Defence",3.0,4.0,167
11363,other,3.0,4.0,189
17341,"Gulshan-e-Iqbal - Block 16, Gulshan-e-Iqbal",3.0,3.0,144
9170,"Bahria Town Karachi, Karachi",1.0,1.0,63
3333,"Gulshan-e-Jamal, Gulshan-e-Iqbal Town",5.0,6.0,500
18188,"Shamsi Society, Shah Faisal Town",2.0,2.0,120
13008,"Frere Town, Karachi",4.0,4.0,244
11868,other,3.0,3.0,161
6946,"Model Colony - Malir, Malir",4.0,6.0,131
9467,"Bahria Town - Precinct 1, Bahria Town Karachi",5.0,5.0,250
13063,"Bahria Paradise, Bahria Town Karachi",5.0,5.0,500
7391,"North Nazimabad - Block J, North Nazimabad",3.0,3.0,200
1007,"Gulistan-e-Jauhar - Block 3, Gulistan-e-Jauhar",3.0,3.0,240
14415,"Shaheed Millat Road, Karachi",5.0,6.0,350
1407,"Gulistan-e-Jauhar - Block 3, Gulistan-e-Jauhar",4.0,4.0,120
7397,"Bahria Town - Precinct 27, Bahria Town Karachi",3.0,3.0,235
11796,"Chapal Courtyard, Karachi",2.0,2.0,117
790,"Bahria Town Karachi, Karachi",4.0,4.0,272
5198,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
8946,"Bahria Apartments, Bahria Town Karachi",2.0,2.0,106
846,"Askari 5, Malir Cantonment",3.0,3.0,286
14874,"Creek Vista, DHA Phase 8",4.0,4.0,418
350,"Bahria Town - Precinct 10-A, Bahria Town Karachi",3.0,3.0,200
9924,"Clifton - Block 5, Clifton",3.0,3.0,200
5661,"Gulshan-e-Iqbal - Block 13/B, Gulshan-e-Iqbal",3.0,3.0,189
13937,"Gulshan-e-Iqbal - Block 13/C, Gulshan-e-Iqbal",4.0,4.0,270
12236,"Bahria Town Karachi, Karachi",2.0,2.0,122
6173,"Gulshan-e-Iqbal - Block 13/D-2, Gulshan-e-Iqbal",3.0,3.0,156
4904,other,3.0,4.0,194
109,"Bahria Town Karachi, Karachi",2.0,2.0,91
7243,"PECHS Block 3, PECHS",4.0,4.0,500
13243,"Mehmoodabad, Karachi",2.0,2.0,67
3594,"North Nazimabad - Block H, North Nazimabad",6.0,6.0,233
13988,"DHA Phase 5, DHA Defence",6.0,6.0,666
7885,"Bath Island, Karachi",4.0,4.0,297
6942,"Model Colony - Malir, Malir",4.0,6.0,131
15567,"DHA Phase 8, DHA Defence",4.0,5.0,289
1959,other,9.0,6.0,400
15657,"Bahria Town - Precinct 10-A, Bahria Town Karachi",3.0,3.0,200
7144,"Bahria Town - Precinct 27, Bahria Town Karachi",3.0,3.0,235
11140,other,4.0,4.0,272
12691,"Falcon Complex New Malir, Malir",4.0,4.0,350
2352,"Falcon Complex New Malir, Malir",5.0,5.0,500
11564,"Bahria Town - Precinct 31, Bahria Town Karachi",3.0,3.0,235
10372,"Nazimabad, Karachi",2.0,3.0,144
9218,"Bahria Heights, Bahria Town Karachi",2.0,2.0,122
9557,"Bahria Town - Precinct 9, Bahria Town Karachi",5.0,5.0,500
6243,"Bahria Town - Precinct 1, Bahria Town Karachi",4.0,4.0,250
16601,"DHA Phase 6, DHA Defence",6.0,6.0,500
8584,"Falcon Complex New Malir, Malir",5.0,5.0,500
8077,"Falcon Complex New Malir, Malir",5.0,6.0,500
18930,other,6.0,5.0,300
2411,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal",5.0,5.0,120
12637,"Gulistan-e-Jauhar - Block 12, Gulistan-e-Jauhar",3.0,3.0,75
18742,"DHA Phase 8, DHA Defence",6.0,6.0,600
9683,"Falcon Complex New Malir, Malir",5.0,5.0,500
10346,"Gulshan-e-Iqbal - Block 17, Gulshan-e-Iqbal",3.0,3.0,222
14530,other,5.0,6.0,256
16136,other,3.0,3.0,153
1282,"Bahria Town - Precinct 31, Bahria Town Karachi",3.0,3.0,235
11530,"Saima Presidency, Malir Cantonment",3.0,3.0,267
1447,"DHA Phase 5, DHA Defence",4.0,5.0,500
15180,"Falcon Complex New Malir, Malir",4.0,4.0,350
18336,"Tariq Road, Karachi",5.0,5.0,500
1216,"Quetta Town - Sector 18-A, Scheme 33 - Sector 18-A",2.0,2.0,150
147,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
14078,"Askari 5, Malir Cantonment",3.0,3.0,286
4476,"Gwalior Cooperative Housing Society, Scheme 33",4.0,4.0,120
267,other,2.0,2.0,100
5629,"Falcon Complex New Malir, Malir",5.0,5.0,500
1718,"Bahria Town Karachi, Karachi",2.0,2.0,35
47,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",8.0,6.0,300
165,"PECHS Block 2, PECHS",3.0,4.0,171
9499,"Bahria Paradise, Bahria Town Karachi",5.0,5.0,500
13338,"Bahria Paradise, Bahria Town Karachi",5.0,6.0,500
19086,other,5.0,4.0,64
14190,"Falcon Complex New Malir, Malir",4.0,4.0,350
5419,"Askari 5 - Sector H, Askari 5",5.0,5.0,427
3327,other,2.0,2.0,134
18502,"North Karachi - Sector 11A, North Karachi",2.0,2.0,100
12220,"Bahria Town - Precinct 35, Bahria Sports City",5.0,5.0,500
773,other,4.0,4.0,120
6937,"North Karachi, Karachi",6.0,5.0,80
14381,"Clifton - Block 9, Clifton",3.0,3.0,122
16867,"Salafia Society, Taiser Town",2.0,3.0,150
8418,"Falcon Complex New Malir, Malir",4.0,4.0,350
8537,"Falcon Complex New Malir, Malir",5.0,5.0,500
1338,other,3.0,3.0,215
11991,"Bahria Town - Precinct 2, Bahria Town Karachi",3.0,3.0,304
14292,other,5.0,3.0,270
1552,"Shahmir Residency, University Road",4.0,4.0,120
1440,"Gulshan-e-Iqbal - Block 16, Gulshan-e-Iqbal",3.0,3.0,131
5369,"Askari 5 - Sector G, Askari 5",5.0,5.0,500
17761,"Clifton - Block 8, Clifton",3.0,3.0,194
13221,"Civil Lines, Karachi",3.0,3.0,362
19100,other,7.0,5.0,120
2754,"DHA Phase 5, DHA Defence",5.0,5.0,568
8828,"Bahria Heights, Bahria Town Karachi",2.0,2.0,122
13263,"Bahria Town - Precinct 6, Bahria Town Karachi",5.0,4.0,250
9227,"Bahria Apartments, Bahria Town Karachi",2.0,2.0,106
5618,"Diamond Tower & Shopping Mall, Gulshan-e-Maymar - Sector W",2.0,2.0,72
17652,"Defence View Society, Karachi",3.0,3.0,133
13155,"Bahadurabad, Gulshan-e-Iqbal Town",4.0,4.0,278
16778,"DHA Phase 4, DHA Defence",6.0,6.0,300
130,"Falcon Complex New Malir, Malir",5.0,5.0,500
1979,"DHA Phase 4, DHA Defence",3.0,3.0,200
17801,"Airport, Karachi",5.0,6.0,200
13695,"Mehmoodabad, Karachi",4.0,3.0,120
8425,"Bahria Town Karachi, Karachi",4.0,4.0,60
4414,"Bath Island, Karachi",4.0,4.0,289
1769,"Bahria Town - Jinnah Avenue, Bahria Town Karachi",2.0,2.0,108
7916,"North Nazimabad - Block F, North Nazimabad",6.0,6.0,600
6873,"Model Colony - Malir, Malir",4.0,6.0,131
3505,"Bahria Town Karachi, Karachi",2.0,2.0,122
11189,"DHA Phase 8, DHA Defence",6.0,6.0,500
11815,"Khalid Bin Walid Road, Karachi",4.0,5.0,250
3697,"Gulshan-e-Maymar - Sector Q, Gulshan-e-Maymar",4.0,6.0,120
13840,"Korangi, Karachi",4.0,4.0,400
6951,"Gulshan-e-Maymar, Gadap Town",4.0,5.0,120
18939,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar",4.0,4.0,120
9710,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
19280,"Gwalior Cooperative Housing Society, Scheme 33",4.0,5.0,120
8854,"De Comforts, Federal B Area - Block 8",4.0,4.0,120
18062,other,4.0,4.0,120
7654,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",2.0,2.0,80
12197,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",2.0,2.0,72
3642,other,3.0,4.0,120
8780,"DHA Phase 6, DHA Defence",2.0,2.0,100
7067,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11",3.0,3.0,152
8838,other,4.0,5.0,120
18932,other,2.0,2.0,80
16635,"Saima Arabian Villas, Gadap Town",3.0,3.0,160
7701,"Federal B Area - Block 13, Federal B Area",8.0,6.0,400
8490,"Falcon Complex New Malir, Malir",5.0,5.0,500
7891,"Bahria Apartments, Bahria Town Karachi",2.0,2.0,106
13012,"Frere Town, Karachi",2.0,2.0,133
4706,"Badar Commercial Area, DHA Phase 5",4.0,5.0,200
1254,"Falcon Complex New Malir, Malir",5.0,5.0,500
15403,"DHA Phase 7, DHA Defence",2.0,2.0,106
13801,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
1189,"Bahria Town Karachi, Karachi",2.0,2.0,91
4598,"Gulistan-e-Jauhar - Block 2, Gulistan-e-Jauhar",5.0,5.0,400
6120,"DHA Phase 8, DHA Defence",4.0,4.0,150
14161,"Navy Housing Scheme Karsaz, Karachi",5.0,6.0,491
2042,"Askari 5, Malir Cantonment",3.0,3.0,249
14063,"Gulistan-e-Jauhar - Block 16, Gulistan-e-Jauhar",5.0,5.0,300
12689,"Falcon Complex New Malir, Malir",4.0,4.0,350
9643,"Askari 5, Malir Cantonment",3.0,3.0,286
8748,"Gulshan-e-Iqbal - Block 13/D-1, Gulshan-e-Iqbal",3.0,3.0,144
18436,"Gulshan-e-Maymar - Sector X, Gulshan-e-Maymar",6.0,6.0,400
16627,"DHA Phase 5, DHA Defence",4.0,3.0,222
7868,"Emaar Crescent Bay, DHA Phase 8",4.0,6.0,311
4383,"Gulistan-e-Jauhar - Block 2, Gulistan-e-Jauhar",3.0,3.0,156
12867,"P & T Colony, Karachi",2.0,2.0,89
6201,"Sanober Twin Tower, Saadi Road",3.0,3.0,189
11591,"Model Colony - Malir, Malir",4.0,4.0,120
7384,"DHA Phase 8, DHA Defence",2.0,3.0,270
17839,"Gulshan-e-Iqbal - Block 3, Gulshan-e-Iqbal",3.0,2.0,100
5113,"Shadman Town - Sector-14/B, Shadman",3.0,3.0,140
4433,"Clifton - Block 1, Clifton",4.0,4.0,180
7980,"Al-Murtaza Commercial Area, DHA Phase 8",3.0,3.0,256
7016,"North Nazimabad - Block N, North Nazimabad",2.0,2.0,89
16393,"North Nazimabad - Block I, North Nazimabad",7.0,7.0,450
6516,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",3.0,3.0,189
10948,"Askari 5 - Sector J, Askari 5",3.0,4.0,300
3315,"Saima Arabian Villas, Gadap Town",2.0,2.0,83
14442,"North Town Residency, Surjani Town",3.0,4.0,120
14270,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
5504,"Federal B Area - Block 2, Federal B Area",3.0,3.0,150
18049,"Gulshan-e-Iqbal - Block 13/D-1, Gulshan-e-Iqbal",4.0,4.0,300
13367,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11",3.0,3.0,152
15112,"Saima Presidency, Malir Cantonment",2.0,2.0,122
16812,other,3.0,4.0,206
10079,"Emaar Pearl Towers, Emaar Crescent Bay",2.0,2.0,182
19255,"HMR Waterfront, DHA Phase 8",5.0,6.0,993
12504,"Bath Island, Karachi",3.0,4.0,244
12506,"Bath Island, Karachi",3.0,4.0,222
11342,"Emaar Pearl Towers, Emaar Crescent Bay",2.0,3.0,182
14669,"Gulistan-e-Jauhar - Block 20, Gulistan-e-Jauhar",2.0,2.0,156
3115,"Gulistan-e-Jauhar - Block 14, Gulistan-e-Jauhar",3.0,3.0,150
5954,"Federal B Area - Block 11, Federal B Area",5.0,5.0,400
9432,"Bahria Town - Precinct 12, Bahria Town Karachi",3.0,3.0,125
3055,"Falaknaz Presidency, Malir",2.0,2.0,133
1390,"Model Colony - Malir, Malir",4.0,5.0,133
7733,"Bahadurabad, Gulshan-e-Iqbal Town",4.0,4.0,222
16975,"Gulistan-e-Jauhar - Block 2, Gulistan-e-Jauhar",6.0,6.0,240
612,"Bahria Town - Precinct 1, Bahria Town Karachi",4.0,4.0,272
3021,"PECHS Block 2, PECHS",2.0,2.0,122
5,"Bahria Paradise, Bahria Town Karachi",5.0,5.0,500
17251,"Gulshan-e-Maymar - Sector Q, Gulshan-e-Maymar",3.0,4.0,120
4109,"DHA Phase 5, DHA Defence",5.0,5.0,500
1904,"Gulistan-e-Jauhar - Block 2, Gulistan-e-Jauhar",4.0,4.0,120
6924,"Model Colony - Malir, Malir",4.0,6.0,131
4509,"University Road, Karachi",2.0,2.0,78
1897,"Jinnah Avenue, Karachi",3.0,3.0,196
15419,"Falcon Complex New Malir, Malir",5.0,5.0,500
5258,"Askari 5 - Sector J, Askari 5",4.0,4.0,367
8097,"Navy Housing Scheme Karsaz, Karachi",5.0,6.0,467
17833,"Gulshan-e-Maymar, Gadap Town",2.0,2.0,94
4132,"Navy Housing Scheme Karsaz, Karachi",5.0,6.0,467
19356,"Shadman Town - Sector-14/B, Shadman",6.0,6.0,240
5311,"Navy Housing Scheme Karsaz, Karachi",5.0,6.0,350
13483,"Gulistan-e-Jauhar, Karachi",6.0,6.0,240
374,"Emaar Pearl Towers, Emaar Crescent Bay",3.0,3.0,300
3771,"DHA Phase 6, DHA Defence",3.0,4.0,194
15333,"DHA Phase 6, DHA Defence",5.0,6.0,600
18762,"Gulshan-e-Maymar - Sector R, Gulshan-e-Maymar",2.0,3.0,120
16521,"Bahria Town Karachi, Karachi",4.0,4.0,250
13934,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",4.0,4.0,200
13575,"Bahria Town - Precinct 6, Bahria Town Karachi",3.0,3.0,139
4315,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",3.0,3.0,200
5854,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",6.0,6.0,240
426,"Bahria Sports City, Bahria Town Karachi",4.0,4.0,350
6095,"DHA Phase 6, DHA Defence",6.0,6.0,500
13366,"Bahria Town - Precinct 11-B, Bahria Town - Precinct 11",3.0,3.0,152
6305,"Federal B Area - Block 12, Federal B Area",5.0,5.0,200
12712,"Falcon Complex New Malir, Malir",5.0,5.0,500
8787,"Sea View Apartments, Karachi",4.0,5.0,766
8470,"Falcon Complex New Malir, Malir",4.0,4.0,350
4271,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
11606,other,2.0,2.0,114
16554,"Gulistan-e-Jauhar - Block 16, Gulistan-e-Jauhar",3.0,3.0,233
14778,"Bukhari Commercial Area, DHA Phase 6",3.0,4.0,161
7275,"Saadi Town - Block 4, Saadi Town",4.0,4.0,120
5437,"Shamsi Society, Shah Faisal Town",2.0,2.0,100
16034,"North Nazimabad - Block L, North Nazimabad",3.0,4.0,145
4990,"Badar Commercial Area, DHA Phase 5",2.0,2.0,67
17230,"DHA Phase 6, DHA Defence",6.0,6.0,666
539,"Bahria Town Karachi, Karachi",2.0,2.0,106
13732,"DHA Phase 4, DHA Defence",5.0,6.0,300
17085,other,1.0,1.0,44
19075,"Garden West, Karachi",2.0,2.0,83
10720,"Scheme 33, Karachi",3.0,3.0,184
6193,"Emaar Pearl Towers, Emaar Crescent Bay",2.0,3.0,389
7587,"Federal B Area - Block 9, Federal B Area",2.0,2.0,80
10448,"Bahria Heights, Bahria Town Karachi",2.0,2.0,122
14785,"PECHS Block 3, PECHS",3.0,3.0,167
12334,"Askari 5, Malir Cantonment",4.0,4.0,333
5202,"Askari 5, Malir Cantonment",4.0,4.0,333
8641,"Askari 5 - Sector J, Askari 5",4.0,4.0,367
13100,"Falaknaz Presidency, Malir",3.0,3.0,178
18854,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",3.0,3.0,133
15398,"Bahria Paradise, Bahria Town Karachi",5.0,5.0,500
5739,"Ittehad Commercial Area, DHA Phase 6",4.0,5.0,222
16270,"Sea View Apartments, Karachi",3.0,4.0,300
12016,other,4.0,4.0,267
9153,"Gohar Green City, Karachi",2.0,2.0,80
1420,"DHA Phase 7, DHA Defence",4.0,4.0,250
13360,"Bahria Heights, Bahria Town Karachi",2.0,2.0,122
7794,"Bahria Town - Precinct 18, Bahria Town Karachi",2.0,2.0,35
4764,"DHA Phase 6, DHA Defence",4.0,5.0,300
1195,"Bahria Town - Precinct 19, Bahria Town Karachi",3.0,3.0,244
16999,other,2.0,2.0,117
5920,"Askari 5 - Sector J, Askari 5",3.0,3.0,300
7917,"North Nazimabad - Block B, North Nazimabad",3.0,3.0,222
15408,"DHA Phase 7 Extension, DHA Defence",3.0,3.0,100
4988,other,2.0,3.0,94
573,"DHA Phase 1, DHA Defence",6.0,6.0,500
15564,"DHA Phase 8, DHA Defence",2.0,3.0,183
6994,"North Nazimabad - Block B, North Nazimabad",6.0,6.0,133
2971,"Bahria Town - Precinct 4, Bahria Town Karachi",1.0,1.0,64
18063,other,3.0,3.0,156
2801,"Emaar Reef Towers, Emaar Crescent Bay",4.0,5.0,294
6782,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",6.0,6.0,400
10378,"Gwalior Cooperative Housing Society, Scheme 33",2.0,2.0,100
18730,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar",3.0,3.0,240
6459,"DHA Phase 5, DHA Defence",3.0,3.0,267
206,"Navy Housing Scheme Karsaz, Karachi",4.0,4.0,467
19000,"DHA Phase 7, DHA Defence",3.0,3.0,500
6809,"Askari 4, Gulistan-e-Jauhar",3.0,3.0,267
14738,"North Nazimabad - Block D, North Nazimabad",6.0,6.0,200
11176,"Gulistan-e-Jauhar - Block 16, Gulistan-e-Jauhar",3.0,3.0,156
2619,"Bahria Central Park Apartments, Bahria Town Karachi",2.0,2.0,122
947,"Bukhari Commercial Area, DHA Phase 6",2.0,2.0,58
7216,"Clifton - Block 2, Clifton",4.0,4.0,361
4071,"Sea View Apartments, Karachi",3.0,3.0,300
15168,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
1984,other,5.0,6.0,233
4352,"Shaheed Millat Road, Karachi",2.0,2.0,139
17297,"Saima Villas, Karachi Motorway",3.0,3.0,160
4915,"North Nazimabad - Block F, North Nazimabad",3.0,4.0,222
12495,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
2312,"Bahria Town - Precinct 10-A, Bahria Town Karachi",3.0,3.0,200
6566,"Civil Lines, Karachi",4.0,4.0,244
10233,"Askari 5 - Sector J, Askari 5",3.0,3.0,300
4481,"Gulshan-e-Iqbal - Block 13/D-2, Gulshan-e-Iqbal",2.0,2.0,106
16618,"Clifton - Block 8, Clifton",4.0,5.0,350
11981,"Bahria Town - Precinct 2, Bahria Town Karachi",2.0,2.0,193
8098,"Navy Housing Scheme Karsaz, Karachi",5.0,6.0,467
13995,"Malir, Karachi",3.0,3.0,117
6697,"Bahria Town - Precinct 27, Bahria Town Karachi",3.0,3.0,235
5355,other,2.0,2.0,81
19371,"Bahria Town Karachi, Karachi",2.0,2.0,131
7800,"DHA Phase 5, DHA Defence",3.0,3.0,256
6980,other,2.0,2.0,111
17566,"Model Colony - Malir, Malir",4.0,5.0,110
18417,"Gulshan-e-Maymar - Sector W, Gulshan-e-Maymar",6.0,6.0,400
4866,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",2.0,2.0,128
14975,"Nazimabad 3, Nazimabad",2.0,2.0,83
3483,"DHA Phase 2, DHA Defence",3.0,3.0,250
18780,"Gulshan-e-Iqbal - Block 3, Gulshan-e-Iqbal",3.0,3.0,240
1350,other,4.0,5.0,120
9768,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
4518,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
477,"Askari 5 - Sector J, Askari 5",5.0,7.0,375
6832,"North Nazimabad - Block J, North Nazimabad",2.0,2.0,100
14869,"Khalid Bin Walid Road, Karachi",4.0,4.0,222
12906,"Model Colony - Malir, Malir",2.0,3.0,152
9660,"Askari 5, Malir Cantonment",3.0,3.0,286
2595,"Bahria Central Park Apartments, Bahria Town Karachi",2.0,2.0,122
2607,"Emaar Coral Towers, Emaar Crescent Bay",3.0,5.0,237
7297,"Gulistan-e-Jauhar - Block 2, Gulistan-e-Jauhar",6.0,6.0,240
15562,"DHA Phase 8, DHA Defence",3.0,4.0,272
13595,other,2.0,2.0,78
13901,"Askari 5, Malir Cantonment",3.0,3.0,286
11670,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",9.0,9.0,240
646,"Clifton - Block 9, Clifton",2.0,2.0,117
727,"Bahria Town - Precinct 27, Bahria Town Karachi",3.0,4.0,125
15581,"Sector 25-A - Punjabi Saudagar Multi Purpose Society, Scheme 33 - Sector 25-A",2.0,2.0,94
12378,"Bahria Town - Ali Block, Bahria Town - Precinct 12",4.0,4.0,125
1423,"Sehar Commercial Area, DHA Phase 7",6.0,6.0,500
1908,other,3.0,3.0,200
5916,"Pilibhit Cooperative Housing Society, Scheme 33 - Sector 18-A",4.0,4.0,120
15493,"DHA Phase 7, DHA Defence",6.0,6.0,500
14560,"Bahria Paradise, Bahria Town Karachi",5.0,5.0,500
14770,"Askari 5 - Sector J, Askari 5",5.0,7.0,375
16291,"Gulshan-e-Iqbal - Block 13/D-1, Gulshan-e-Iqbal",6.0,7.0,600
12722,"DHA Phase 5, DHA Defence",5.0,6.0,700
14974,"Nazimabad 3, Nazimabad",3.0,3.0,150
8643,"Askari 5 - Sector J, Askari 5",3.0,3.0,300
17911,other,1.0,1.0,53
18055,"Saima Arabian Villas, Gadap Town",4.0,3.0,160
18668,other,4.0,5.0,165
13514,"DHA Phase 5 Extension, DHA Phase 5",6.0,6.0,500
5103,"Pilibhit Cooperative Housing Society, Scheme 33 - Sector 18-A",2.0,2.0,100
12991,"Saima Arabian Villas, Gadap Town",2.0,2.0,120
16430,"Khalid Bin Walid Road, Karachi",3.0,3.0,194
2364,"Bukhari Commercial Area, DHA Phase 6",3.0,3.0,189
5656,"Salafia Society, Taiser Town",2.0,3.0,120
577,"Bahria Town Karachi, Karachi",4.0,4.0,51
14502,"Badar Commercial Area, DHA Phase 5",2.0,2.0,100
6010,"Shamsi Society, Shah Faisal Town",2.0,2.0,67
12314,"Bahria Town Karachi, Karachi",2.0,2.0,122
3715,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",3.0,3.0,178
18958,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal",7.0,6.0,120
9593,"Askari 5 - Sector H, Askari 5",5.0,5.0,427
9690,"Falcon Complex New Malir, Malir",5.0,5.0,500
13409,"Nazimabad 3, Nazimabad",2.0,2.0,83
4497,"Askari 5 - Sector J, Askari 5",4.0,5.0,333
12157,"Askari 5, Malir Cantonment",3.0,3.0,286
419,"Nazimabad - Block 5C, Nazimabad",2.0,2.0,117
8503,"Falcon Complex New Malir, Malir",5.0,5.0,500
13125,"Civil Lines, Karachi",4.0,5.0,422
14421,"Scheme 33, Karachi",2.0,2.0,122
2972,other,1.0,1.0,64
14698,"Bahria Town - Precinct 29, Bahria Town Karachi",5.0,6.0,500
18821,"Gulistan-e-Jauhar - Block 13, Gulistan-e-Jauhar",6.0,6.0,300
16146,"Gulistan-e-Jauhar - Block 11, Gulistan-e-Jauhar",3.0,3.0,156
18649,"North Nazimabad - Block F, North Nazimabad",5.0,5.0,470
17313,other,2.0,2.0,94
9856,"Tulip Tower, Saadi Road",2.0,2.0,136
6535,other,2.0,2.0,72
11767,"Bahria Town - Ali Block, Bahria Town - Precinct 12",3.0,3.0,125
17988,other,3.0,2.0,100
6624,"Defence View Society, Karachi",3.0,3.0,200
1135,"Askari 5 - Sector J, Askari 5",5.0,5.0,375
7202,"Clifton - Block 1, Clifton",2.0,2.0,139
15554,"DHA Phase 8, DHA Defence",3.0,4.0,272
2559,"Bahria Town - Precinct 19, Bahria Town Karachi",2.0,2.0,106
9599,"Askari 5 - Sector H, Askari 5",5.0,5.0,375
7777,"Garden West, Karachi",2.0,2.0,111
4265,"Frere Town, Karachi",3.0,3.0,222
6887,"Sector 32 - Punjabi Saudagar City Phase 1, Scheme 33 - Sector 32",4.0,4.0,120
4690,"DHA Phase 6, DHA Defence",4.0,5.0,644
2225,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11",3.0,4.0,152
7485,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",4.0,4.0,240
11489,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",3.0,3.0,240
4913,"Gulistan-e-Jauhar - Block 7, Gulistan-e-Jauhar",8.0,8.0,400
14452,"KDA Officers Society, Gulshan-e-Iqbal Town",6.0,6.0,400
4140,"Bahria Town Karachi, Karachi",2.0,2.0,185
11180,"Bahria Town - Precinct 19, Bahria Town Karachi",2.0,2.0,106
18384,"Khalid Bin Walid Road, Karachi",2.0,2.0,150
6612,"Gulshan-e-Maymar - Sector R, Gulshan-e-Maymar",4.0,4.0,120
12340,"Askari 5, Malir Cantonment",4.0,4.0,333
9359,"DHA Phase 5, DHA Defence",8.0,6.0,500
18686,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",3.0,3.0,185
17659,other,3.0,3.0,240
1830,"Federal B Area - Block 12, Federal B Area",7.0,8.0,200
4020,other,5.0,4.0,80
7191,"North Nazimabad - Block L, North Nazimabad",3.0,3.0,233
6345,"Bahria Town - Quaid Villas, Bahria Town - Precinct 2",3.0,3.0,200
15950,other,4.0,3.0,122
10485,"Bahria Town - Precinct 10-A, Bahria Town Karachi",3.0,3.0,200
18824,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar",4.0,4.0,240
4713,"Karachi Administration Employees Society, Jamshed Town",4.0,4.0,200
9971,"Creek Vista, DHA Phase 8",4.0,4.0,418
16976,"Gulshan-e-Kaneez Fatima - Block 1, Gulshan-e-Kaneez Fatima",6.0,6.0,200
